TypeName,Inches,ScreenResolution,Cpu,Ram,OpSys,Weight,Price_euros,TouchScreen,HDD,SSD,Flash Storage,Hybrid,SSHD,2 in 1 Convertible,Gaming,Netbook,Notebook,Ultrabook,Workstation,Android,Chrome OS,Linux,Mac OS X,No OS,Windows 10,Windows 10 S,Windows 7,macOS
Notebook,15.6,1.0,12,4,Windows 10,2.1,489.9,0,500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Ultrabook,14.0,1.0,13,4,Windows 10,1.25,1090.0,0,0,128,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Ultrabook,14.0,4.0,14,8,Windows 10,1.13,2499.0,0,0,512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Gaming,15.6,4.0,13,8,Windows 10,2.4,1199.0,0,0,256,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Ultrabook,14.0,4.0,13,8,Windows 10,1.13,1875.0,0,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Notebook,14.0,1.0,15,4,Windows 10,1.75,499.0,0,0,128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2 in 1 Convertible,13.3,4.0,13,8,Windows 10,1.1,1358.0,1,0,256,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Notebook,14.0,1.0,12,4,Windows 10,1.76,585.0,0,500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Netbook,11.6,1.0,10,4,Chrome OS,1.35,355.0,0,0,0,32,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Notebook,14.0,4.0,12,8,Windows 10,1.5,619.0,0,0,128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Gaming,17.3,14.0,14,32,Windows 10,3.49,5499.0,1,0,512,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Ultrabook,14.0,9.0,14,16,Windows 10,1.1,2099.0,0,0,512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,4.0,13,4,Linux,2.1,519.0,0,1000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Notebook,14.0,4.0,13,8,Windows 10,1.7,1186.0,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Notebook,14.0,4.0,13,8,Windows 10,1.32,1650.0,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Gaming,15.6,4.0,14,16,Windows 10,3.21,2774.63,0,0,0,0,0,1256,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Gaming,17.3,4.0,14,16,Windows 10,2.9,2419.0,0,0,0,0,0,1256,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,1.0,12,4,Windows 10,2.0,669.0,0,500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Notebook,14.0,1.0,10,4,Chrome OS,1.5,325.0,0,0,0,16,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Notebook,15.6,4.0,13,8,Windows 10,2.3,590.0,0,128,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Gaming,17.3,4.0,14,16,Windows 10,2.73,1799.0,0,0,0,0,0,1512,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Gaming,17.3,4.0,14,32,Windows 10,4.42,3072.89,0,0,0,0,0,1512,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Notebook,17.3,3.0,13,8,Windows 10,2.63,910.0,0,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,1.0,13,8,Windows 10,2.18,713.99,0,0,128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Ultrabook,14.0,4.0,14,8,Windows 7,1.54,1870.0,0,0,512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
